Scope Step Number,Scope Step Name,Boundary Tag (from Stage 3),Graph Node,Consolidation Rule Applied,Consolidation Rationale,Notes
1,Pull CRM data,AUTOMATE,gather_data,"Rule 1 (AUTOMATE → node) + Rule 4 (group tightly coupled steps)","All four data retrieval steps (1-4) share the same logic pattern: API call with account_id + quarter date range. Different data sources but identical node behavior — call API, store result in state. Grouping into one node keeps the graph topology simple while internal parallelism handles concurrency.","The four API calls within this node are independent and can be parallelised internally using async calls or Send()"
2,Pull support tickets,AUTOMATE,gather_data,"Rule 1 + Rule 4 (group tightly coupled steps)","Same logic pattern as Step 1: API call with account_id + date range. The tool differs (Support API vs CRM API) but the node behavior is identical — retrieve data and store in state. No reason to create a separate node for each data source when the pattern is the same.","If the support API returns paginated results the node handles pagination internally"
3,Pull usage metrics,AUTOMATE,gather_data,"Rule 1 + Rule 4 (group tightly coupled steps)","Same logic pattern as Steps 1-2: API call with account_id + date range. Usage data API wrapper returns a single dict of metrics. Grouping with other retrieval steps avoids a graph with four sequential data-fetch nodes that could be one.","Usage data includes DAU/MAU and feature adoption metrics"
4,Pull Slack context,AUTOMATE,gather_data,"Rule 1 + Rule 4 (group tightly coupled steps)","Same logic pattern as Steps 1-3: API call with account_id + date range. Slack search returns a list of thread dicts. Completes the data retrieval group — all four sources are fetched by one node with four internal tool calls.","Slack threads use Annotated[list[dict] with operator.add] reducer in state to support potential future fan-out"
5,Review Slack sentiment,HUMAN-IN-THE-LOOP,analyse_health,"Rule 2 (HIL candidate) → Consolidation Principle 1 (merge related reviews)","Steps 5-7 each have HIL elements (sentiment validation / ticket interpretation / usage context) but the human reviews related dimensions of the same account. Presenting all three analyses together in one interrupt is faster and produces better feedback — the reviewer can cross-reference findings across dimensions. The sentiment review merges into the analysis checkpoint rather than being its own interrupt.","The HIL review for this step is deferred to the hil_review_analysis node which surfaces all three analyses together"
6,Assess ticket health,"AUTOMATE / HUMAN-IN-THE-LOOP (split boundary)",analyse_health,"Rule 1 (AUTOMATE component) + Consolidation Principle 1 (HIL component merged into single checkpoint)","Split boundary step: the quantitative analysis (calculate volume trends / severity distribution / MTTR vs SLA / CSAT) is automated as processing logic inside analyse_health. The HIL component (interpreting edge cases and validating scores) is consolidated with Steps 5 and 7 into the hil_review_analysis checkpoint. Splitting follows the methodology's instruction to decompose split-boundary steps before applying rules.","SLA thresholds and scoring criteria come from an external scoring rubric config file — not hardcoded in the node"
7,Assess product engagement,"AUTOMATE / HUMAN-IN-THE-LOOP (split boundary)",analyse_health,"Rule 1 (AUTOMATE component) + Consolidation Principle 1 (HIL component merged into single checkpoint)","Same pattern as Step 6: quantitative analysis (DAU/MAU trends / feature adoption rates / API error rates) is automated inside analyse_health. The HIL review component is consolidated with Steps 5 and 6 into one checkpoint. The coupling criterion is that all three outputs are reviewed as a unit — they represent different dimensions of the same account's health.","Adoption benchmarks come from the scoring rubric config. analyse_health runs three separate LLM prompts (one per dimension)"
—,—,—,hil_review_analysis,"Consolidation Principle 1 (merge related reviews into single checkpoint)","This node is the consolidated HIL checkpoint for Steps 5-7. Rather than three separate interrupts (one per analysis dimension) the graph pauses once and surfaces all three analyses together. The reviewer gets full context to cross-reference findings and can correct any dimension in a single interaction. This eliminates context-switching overhead and produces higher-quality feedback.","Uses Feedback-as-Context pattern: human provides freeform text stored in analysis_human_feedback. Unconditional edge to synthesise."
8,Identify risks & opportunities,HUMAN-IN-THE-LOOP,synthesise,"Rule 2 (HIL candidate) → Consolidation Principle 2 (upstream checkpoint converts downstream HIL to automated)","Originally tagged HIL because risk identification requires judgement. But after hil_review_analysis the human has already validated (and potentially corrected) every analysis input that feeds this step. With confirmed inputs and a well-defined scoring framework the synthesis becomes deterministic enough to automate. The second checkpoint (hil_review_report) still catches any synthesis errors in the final output.","Human corrections from hil_review_analysis flow forward via analysis_human_feedback in state so synthesise operates on vetted data"
9,Assign health score,HUMAN-IN-THE-LOOP,synthesise,"Rule 2 (HIL candidate) → Consolidation Principle 2 (upstream checkpoint converts downstream HIL to automated)","Same reasoning as Step 8: the health score is derived from analysis outputs the human has already confirmed. The scoring framework (Green/Amber/Red with defined thresholds) is deterministic given validated inputs. An additional interrupt here would add overhead without meaningfully improving accuracy since the report review checkpoint catches scoring errors.","Health scoring thresholds come from the health_scoring section of the scoring rubric config"
10,Generate health report,"AUTOMATE / HUMAN-IN-THE-LOOP (split boundary)",generate_report,"Rule 1 (AUTOMATE component) + Rule 4 (group with Step 11) + Consolidation Principle 1 (HIL component → hil_review_report)","Split boundary step: report drafting is automated (LLM fills a structured template with sections for each health dimension). The HIL review component is consolidated with Step 11's review into a single hil_review_report checkpoint. Steps 10 and 11 are grouped into one node because they share the same tool (LLM) and produce a single deliverable package (report + summary).","Report uses a seven-section template: Account Overview / Ticket Health / Product Engagement / Sentiment / Risks & Opportunities / Health Score / Recommended Actions"
11,Generate exec summary,"AUTOMATE / HUMAN-IN-THE-LOOP (split boundary)",generate_report,"Rule 1 (AUTOMATE component) + Rule 4 (group with Step 10) + Consolidation Principle 1 (HIL component → hil_review_report)","Same pattern as Step 10: exec summary generation is automated (LLM produces a 3-5 sentence summary from the completed report). The HIL review is consolidated into hil_review_report. Grouping with Step 10 is natural — the exec summary is derived from the report so they share inputs and are produced in sequence within the same node.","The exec summary prompt receives the completed report_markdown as input — it is generated after the full report"
—,—,—,hil_review_report,"Rule 2 (HIL → interrupt node) + Consolidation Principle 1 (merge related reviews)","This node is the consolidated HIL checkpoint for the report package (Steps 10-11). The human reviews the complete deliverable — full report and exec summary — in a single interaction. Uses Feedback-as-Control-Flow pattern because the human can approve / revise (report only) / rework (re-run analysis). Each decision routes to a different node.","Conditional edges: approved → END; revise → generate_report; rework → analyse_health. Decision stored in report_review_decision."
12,Final review & distribution,MANUAL,Outside graph,"Rule 3 (MANUAL steps are outside the graph)","MANUAL steps happen after the graph completes. The graph ends when hil_review_report approves the output. Final edits / distribution list decisions / the actual send all happen outside graph.invoke(). The graph boundary ends at the last point where the agent adds value.","Step 12 was tagged MANUAL in Stage 3 because distribution involves relationship decisions and channel choices that require human judgement"





